t,Canada,US,Mexico,Rest C.Am.,Brazil,Rest S.Am.,N.Africa,W.Africa,E.Africa,South Africa,W.Europe,C.Europe,Turkey,Ukraine,Stan,Russia,M.East,India,Korea,China,SE.Asia,Indonesia,Japan,Oceania,Rest S.Asia,Rest S.Africa
1996,15864.03036,18207.5739,15864.03036,15707.87412,15707.87412,15707.87412,14251.46429,14251.46429,14251.46429,15707.87412,15707.87412,15707.87412,15707.87412,15864.03036,15864.03036,15864.03036,15864.03036,10708.5,14251.46429,17794.42857,17690.33333,8868.258733,8868.258733,14333.33333,15397.75397,14251.46429
1997,16284.61326,18628.1568,16284.61326,15646.1133,15646.1133,15646.1133,14251.46429,14251.46429,14251.46429,15646.1133,15646.1133,15646.1133,15646.1133,16284.61326,16284.61326,16284.61326,16284.61326,10708.5,14251.46429,17794.42857,17690.33333,8889.532715,8889.532715,14366.66667,15397.75397,14251.46429
1998,16526.01486,18869.5584,16526.01486,15617.08226,15617.08226,15617.08226,14251.46429,14251.46429,14251.46429,15617.08226,15617.08226,15617.08226,15617.08226,16526.01486,16526.01486,16526.01486,16526.01486,10708.5,14251.46429,17794.42857,17690.33333,8973.683044,8973.683044,14400,15397.75397,14251.46429
1999,16726.57864,19070.12217,16726.57864,15579.35324,15579.35324,15579.35324,14251.46429,14251.46429,14251.46429,15579.35324,15579.35324,15579.35324,15579.35324,16726.57864,16726.57864,16726.57864,16726.57864,10708.5,14251.46429,17794.42857,17690.33333,8923.087111,8923.087111,14400,15397.75397,14251.46429
2000,16950,19293.54354,16950,15400.15991,15400.15991,15400.15991,14251.46429,14251.46429,14251.46429,15400.15991,15400.15991,15400.15991,15400.15991,16950,16950,16950,16950,10708.5,14251.46429,17794.42857,17690.33333,8812.11241,8812.11241,14300,15397.75397,14251.46429
2001,16900,18935.85286,16900,15374.29672,15374.29672,15374.29672,14251.46429,14251.46429,14251.46429,15374.29672,15374.29672,15374.29672,15374.29672,16900,16900,16900,16900,10708.5,14251.46429,17794.42857,17690.33333,8795.076637,8795.076637,14600,15397.75397,14251.46429
2002,16800,19638.82458,16800,15414.32628,15414.32628,15414.32628,14251.46429,14251.46429,14251.46429,15414.32628,15414.32628,15414.32628,15414.32628,16800,16800,16800,16800,10708.5,14251.46429,17794.42857,17690.33333,8740.819168,8740.819168,14200,15397.75397,14251.46429
2003,16400,19701.08061,16400,15262.18106,15262.18106,15262.18106,14251.46429,14251.46429,14251.46429,15262.18106,15262.18106,15262.18106,15262.18106,16400,16400,16400,16400,10708.5,14251.46429,17794.42857,17690.33333,8686.400399,8686.400399,14600,15397.75397,14251.46429
2004,16050,20112.06899,16050,15152.94489,15152.94489,15152.94489,14251.46429,14251.46429,14251.46429,15152.94489,15152.94489,15152.94489,15152.94489,16050,16050,16050,16050,10708.5,14251.46429,17794.42857,17690.33333,8570.127459,8570.127459,13900,15397.75397,14251.46429
2005,16000,19914.8654,16000,14988.77019,14988.77019,14988.77019,14251.46429,14251.46429,14251.46429,14988.77019,14988.77019,14988.77019,14988.77019,16000,16000,16000,16000,10708.5,14251.46429,17794.42857,17690.33333,8405.541477,8405.541477,14100,15397.75397,14251.46429
2006,16050,19999.98633,16050,14547.85578,14547.85578,14547.85578,14251.46429,14251.46429,14251.46429,14547.85578,14547.85578,14547.85578,14547.85578,16050,16050,16050,16050,10708.5,14251.46429,17794.42857,17690.33333,8275.651747,8275.651747,13900,15397.75397,14251.46429
2007,15800,19783.3137,15800,14303.50938,14303.50938,14303.50938,14251.46429,14251.46429,14251.46429,14303.50938,14303.50938,14303.50938,14303.50938,15800,15800,15800,15800,10708.5,14251.46429,17794.42857,17690.33333,8275.651747,8275.651747,13900,15397.75397,14251.46429
2008,15200,19783.3137,15200,14193.27871,14193.27871,14193.27871,14251.46429,14251.46429,14251.46429,14193.27871,14193.27871,14193.27871,14193.27871,15200,15200,15200,15200,10708.5,14251.46429,17794.42857,17690.33333,8275.651747,8275.651747,13900,15397.75397,14251.46429
2009,15200,19660.82256,15200,13872.08786,13872.08786,13872.08786,14251.46429,14251.46429,14251.46429,13872.08786,13872.08786,13872.08786,13872.08786,15200,15200,15200,15200,10708.5,14251.46429,17794.42857,17690.33333,8275.651747,8275.651747,13900,15397.75397,14251.46429
2010,15200,19538.33141,15200,13550.897,13550.897,13550.897,14251.46429,14251.46429,14251.46429,13550.897,13550.897,13550.897,13550.897,15200,15200,15200,15200,10708.5,14251.46429,17794.42857,17690.33333,8275.651747,8275.651747,13900,15397.75397,14251.46429
2011,15200,19415.84027,15200,13550.897,13550.897,13550.897,14251.46429,14251.46429,14251.46429,13550.897,13550.897,13550.897,13550.897,15200,15200,15200,15200,10708.5,14251.46429,17794.42857,17690.33333,8275.651747,8275.651747,13900,15397.75397,14251.46429
2012,15200,19293.34912,15200,13550.897,13550.897,13550.897,14251.46429,14251.46429,14251.46429,13550.897,13550.897,13550.897,13550.897,15200,15200,15200,15200,10708.5,14251.46429,17794.42857,17690.33333,8275.651747,8275.651747,13900,15397.75397,14251.46429
2013,15200,19170.85798,15200,13550.897,13550.897,13550.897,14251.46429,14251.46429,14251.46429,13550.897,13550.897,13550.897,13550.897,15200,15200,15200,15200,10708.5,14251.46429,17794.42857,17690.33333,8275.651747,8275.651747,13900,15397.75397,14251.46429
2014,15200,19048.36684,15200,13550.897,13550.897,13550.897,14251.46429,14251.46429,14251.46429,13550.897,13550.897,13550.897,13550.897,15200,15200,15200,15200,10708.5,14251.46429,17794.42857,17690.33333,8275.651747,8275.651747,13900,15397.75397,14251.46429
2015,15200,18925.87569,15200,13550.897,13550.897,13550.897,14251.46429,14251.46429,14251.46429,13550.897,13550.897,13550.897,13550.897,15200,15200,15200,15200,10708.5,14251.46429,17794.42857,17690.33333,8275.651747,8275.651747,13900,15397.75397,14251.46429
2016,15200,18803.38455,15200,13550.897,13550.897,13550.897,14251.46429,14251.46429,14251.46429,13550.897,13550.897,13550.897,13550.897,15200,15200,15200,15200,10708.5,14251.46429,17794.42857,17690.33333,8275.651747,8275.651747,13900,15397.75397,14251.46429
2017,15200,18680.89341,15200,13550.897,13550.897,13550.897,14251.46429,14251.46429,14251.46429,13550.897,13550.897,13550.897,13550.897,15200,15200,15200,15200,10708.5,14251.46429,17794.42857,17690.33333,8275.651747,8275.651747,13900,15397.75397,14251.46429
2018,15200,18680.89341,15200,13550.897,13550.897,13550.897,14251.46429,14251.46429,14251.46429,13550.897,13550.897,13550.897,13550.897,15200,15200,15200,15200,10708.5,14251.46429,17794.42857,17690.33333,8275.651747,8275.651747,13900,15397.75397,14251.46429
