,,BEV,FCV,HEV,ICE,PHEV,Trolley
LCV,2029,0.0,0.0,53011998.70934157,0.0,677993268.2692311,0.0
LCV,2030,0.0,0.0,58854956.044975094,0.0,758576280.4583803,0.0
LCV,2031,0.0,0.0,65003734.782332554,0.0,842453403.964676,0.0
LCV,2032,0.0,0.0,71310433.39816432,0.0,928431387.0222496,0.0
LCV,2033,0.0,0.0,77781733.15545262,0.0,1016871835.3611276,0.0
LCV,2034,0.0,0.0,84465173.19108199,0.0,1107365898.350761,0.0
LCV,2035,0.0,0.0,91249298.83751163,0.0,1204075686.3091335,0.0
LCV,2036,0.0,0.0,98007163.87111494,0.0,1303038045.5768473,0.0
LCV,2037,0.0,0.0,105365765.96463825,0.0,1409935465.5853467,0.0
LCV,2038,0.0,0.0,113036452.01548375,0.0,1532006748.109383,0.0
LCV,2039,0.0,0.0,121089855.55091883,0.0,1661830722.3310862,0.0
LCV,2040,0.0,0.0,129103121.85346805,0.0,1809634250.2577472,0.0
LCV,2041,0.0,0.0,136432204.38658908,0.0,1947828591.6183574,0.0
LCV,2042,0.0,0.0,143493942.0671744,0.0,2084281931.9598877,0.0
LCV,2043,0.0,0.0,150315784.28223273,0.0,2216328519.453263,0.0
LCV,2044,0.0,0.0,156684841.16426295,0.0,2345607862.14055,0.0
LCV,2045,0.0,0.0,162818945.84383997,0.0,2468452871.863835,0.0
LCV,2046,0.0,0.0,168484715.17749974,0.0,2578809283.7706504,0.0
LCV,2047,0.0,0.0,173479229.72490838,0.0,2685963977.2806296,0.0
LCV,2048,0.0,0.0,177641954.209143,0.0,2792445792.0088873,0.0
LCV,2049,0.0,0.0,181867389.65833634,0.0,2889686372.628364,0.0
LCV,2050,0.0,0.0,185844985.54707083,0.0,2982017509.383659,0.0
LCV,2051,0.0,0.0,188938974.80151445,0.0,3060284276.3238797,0.0
LCV,2052,0.0,0.0,191829556.46937552,0.0,3132138154.3857555,0.0
LCV,2053,0.0,0.0,194855369.8439741,0.0,3196306041.485735,0.0
LCV,2054,0.0,0.0,197505972.163976,0.0,3258403888.3649817,0.0
LCV,2055,0.0,0.0,200023974.17083022,0.0,3318028831.5055757,0.0
LCV,2056,0.0,0.0,202145729.14181793,0.0,3374088199.2647824,0.0
LCV,2057,0.0,0.0,204054567.62918815,0.0,3430395994.6756616,0.0
LCV,2058,0.0,0.0,205684046.97577354,0.0,3487562019.269257,0.0
LCV,2059,0.0,0.0,207075855.1159318,0.0,3545559588.0753603,0.0
LCV,2060,0.0,0.0,208220299.42145133,0.0,3604657109.4296074,0.0
LCV,2061,0.0,0.0,208901092.54064038,0.0,3661254424.1088443,0.0
LCV,2062,0.0,0.0,209287015.40399188,0.0,3719530101.5523877,0.0
LCV,2063,0.0,0.0,209524835.11146197,0.0,3778608169.5004063,0.0
LCV,2064,0.0,0.0,209333971.30769032,0.0,3840420324.9802504,0.0
LCV,2065,0.0,0.0,209038706.4918999,0.0,3903050859.7119117,0.0
LCV,2066,0.0,0.0,208233038.3880126,0.0,3963832383.8421483,0.0
LCV,2067,0.0,0.0,207159877.43182537,0.0,4026195759.0898275,0.0
LCV,2068,0.0,0.0,205755504.40382132,0.0,4090374287.9934516,0.0
LCV,2069,0.0,0.0,204088407.85668266,0.0,4155956079.98942,0.0
LCV,2070,0.0,0.0,202179093.2618687,0.0,4222741989.140677,0.0
LCV,2071,0.0,0.0,199616809.7626795,0.0,4287503473.1552644,0.0
LCV,2072,0.0,0.0,196969298.88184434,0.0,4352435766.986584,0.0
LCV,2073,0.0,0.0,194100615.2917996,0.0,4418378488.721573,0.0
LCV,2074,0.0,0.0,191079187.94609946,0.0,4484897672.132135,0.0
LCV,2075,0.0,0.0,187920840.33865994,0.0,4551820205.227515,0.0
LCV,2076,0.0,0.0,184448681.68000036,0.0,4614910306.548865,0.0
LCV,2077,0.0,0.0,180855267.0275792,0.0,4678145450.58227,0.0
LCV,2078,0.0,0.0,177057981.04040074,0.0,4741895904.8998165,0.0
LCV,2079,0.0,0.0,173057183.69019786,0.0,4806218112.705397,0.0
LCV,2080,0.0,0.0,168850376.5831857,0.0,4871317593.78177,0.0
LCV,2081,0.0,0.0,164330645.23413503,0.0,4933099441.489072,0.0
LCV,2082,0.0,0.0,159686900.2820098,0.0,4995509474.964541,0.0
