time,Buses,Trains,HST,Cars,Planes,Bikes,Trucks,Cargo Trains,Ships,Inland ships,Cargo Planes
2020,12845096.341912799,76971.26984356214,4752.10799277558,1132315539.2595177,16125.341826338235,1477389828.75,124104771.8084464,96222.37439349285,51753.03779128408,331695.698140107,9047.20229090764
2021,12971487.786334023,77389.69575310762,4726.0544078708235,1143600927.7155817,16227.313004791225,1467079174.5833335,130162277.15575318,99541.13894209334,53611.250617712765,342698.36147586367,9495.595256539771
2022,13400623.354174042,79905.7037717661,4862.471073177342,1188779333.331138,16847.134941627763,1494302861.25,133842940.9120034,102241.51087619456,54230.438637253385,347827.5600240165,9820.75325514959
2023,13666917.487299785,81598.96780983396,4956.793880713903,1222169006.1308606,17281.74932540746,1506051745.4166665,137280316.22242364,105132.65261235673,53279.198233490824,352317.1866510868,10013.18659418878
2024,13883882.909973072,83151.68043425675,5028.737759880031,1251076852.1786096,17629.60461482723,1517332997.9166665,140809332.05407578,108209.0272080639,52326.32398674001,356889.02512963116,10175.028825926478
2025,14131676.419124303,84895.30547442225,5119.777779781175,1284478724.4869769,18000.155083435995,1531224853.3333333,144432565.6177659,111418.83713840916,51389.7404161529,361559.9578538702,10334.4301841961
2026,14380652.086247766,86576.3660060871,5216.160819510874,1318016955.6368792,18322.402358016738,1542187715.0,147583372.46442786,114314.9645973233,50383.783197931814,365364.7695862321,10462.257995179642
2027,14634297.059732338,88105.51182580627,5307.553353857108,1350430438.6190794,18610.629759922736,1548601812.9166667,150816999.4975212,117319.50921513898,49424.95873936221,369238.47273412725,10577.725616969805
2028,14919275.777569473,89618.56463847439,5399.993276099934,1383814760.9043367,18917.831803215868,1553149315.4166667,154131357.44942024,120438.92032911252,48486.34974420443,373161.7832530373,10691.529953770234
2029,15228151.474359883,91111.69985811198,5489.931073531667,1417645214.0900285,19242.778887817356,1555542831.2500002,157538836.4395578,123681.42109678501,47471.039444254166,377159.0119975284,10807.156756392416
2030,15549496.454922814,92554.38098195169,5578.286221970887,1451461212.9574704,19574.21830484064,1555446748.75,161037972.75547326,127036.14556644546,46439.46135810689,381228.81540301425,10922.521412848206
2031,15983642.175508402,94552.61173229737,5733.675661705377,1499770391.3042698,20074.98901614863,1548631792.5,164087877.51848367,130108.00404322834,45350.39055012067,384496.6627240795,11065.219017330059
2032,16437016.935901837,96694.74073846755,5916.034777099498,1552471484.7249784,20706.99607232015,1544497274.5833335,167210209.37803108,133300.76227997977,44319.77077147635,387808.45323412394,11239.179764387054
2033,16829009.556286573,98500.78825470524,6089.697000555003,1600997309.0303729,21350.804479984396,1535429980.8333333,170406435.58552533,136640.75125920738,43339.558109465535,391159.93829124025,11411.531428808936
2034,17199777.50383882,100227.37718382983,6267.400617373298,1649061956.1620264,22062.80546171122,1526419804.5833333,173668243.81357995,140151.7464245671,42410.981080872836,394540.3608232086,11597.805791420327
2035,17566957.730512492,101961.32004592408,6461.515848092146,1699104523.3484662,22880.469491981166,1518210512.0833333,177149353.72977677,143903.30657039752,41538.478760990256,398073.3195863227,11807.388367091815
2036,17899132.53771596,103492.46699208242,6661.084236019864,1747390885.8326035,23752.67046699673,1507708427.4999998,180333558.24888882,147458.09953082495,40641.20244369844,401050.57392450946,12021.668614253229
2037,18206695.2310788,104900.21990836848,6864.032132403477,1794507130.826633,24683.71129944193,1496311070.4166667,183602192.4689873,151115.33508682164,39782.888471365404,404044.2529298584,12245.972165995425
2038,18501190.10085393,106257.8027756617,7077.029523076484,1841907580.534698,25699.49057345888,1484994538.75,186979819.66851428,154829.013618598,38966.73111687832,407058.95256570104,12486.228399600084
2039,18782979.925645445,107565.59484654073,7302.179004231057,1889764658.6842132,26806.998668439675,1473495812.5000002,190489133.7032061,158561.59815867606,38190.069971831654,410091.90732019325,12743.46429489653
2040,19046753.968190733,108796.25262203993,7535.4049307352525,1937142634.91999,27994.00809828862,1461375962.0833335,194146671.61880532,162280.97906809725,37450.999852329296,413141.9320645969,13013.811191340103
2041,19277756.81547588,109846.1414403258,7773.391381508964,1982310786.734139,29244.051322608157,1447173621.25,197130349.3125865,165575.5032541168,36700.485674145675,415848.44950905995,13286.21602619162
2042,19497473.093962107,110842.99540759408,8023.237897866359,2027719133.2145598,30507.358435116934,1432909077.916667,200178934.58018383,168819.29821621347,35985.64567506457,418568.8557082382,13554.391731936934
2043,19723950.24991989,111893.95069662321,8292.911298573654,2075232733.5070233,31809.192143496013,1419897253.75,203283903.1711359,171938.23924911965,35295.445974262206,421300.76412251045,13824.445315318604
2044,19942258.47559247,112899.73521458307,8576.76583942115,2123116286.63723,33122.547052120644,1406638890.0000002,206442314.03037488,174858.56530419033,34627.926831103185,424046.30077716935,14090.7686991145
2045,20146550.479018345,113822.54270179327,8870.49524290662,2170427627.5314617,34430.877260143876,1392894096.2500002,209641489.32144737,177587.2135371566,33981.16831043036,426806.9446408153,14349.87779224761
2046,20330566.705702733,114620.14448748824,9177.49951128547,2216654828.1265388,35731.15321635164,1378291436.666667,212476638.7531008,179685.29788980426,33309.283892821884,429043.99999835767,14594.359803304818
2047,20513442.752697404,115402.06790045454,9504.220024268589,2264026706.9265966,37053.71453321004,1364180995.4166665,215333390.96442884,181576.8159746029,32657.948445616516,431285.7049022927,14838.065351647803
2048,20686952.606594324,116118.2357687767,9844.71818630028,2311228678.054231,38374.61447018945,1350071265.4166665,218228481.17479914,183273.21470301243,32031.051968020747,433539.87913847447,15076.391330751201
2049,20852445.523378793,116770.51103152224,10199.826922844075,2358378903.657215,39695.51033995981,1336223086.25,221159485.22039416,184926.50612260573,31428.0670886172,435810.8825579793,15309.886891480808
2050,21014744.536592796,117376.7515226786,10576.122181899664,2406377120.317657,41033.860195559515,1322963120.0,224127839.82405865,186544.25726592808,30849.57830171296,438097.9151788208,15542.289348740964
2051,21151457.93847692,117809.86601872345,10969.311793597994,2452827436.0728955,42355.338184622386,1308855148.3333333,226505444.80258328,188281.5722958644,30266.726129429735,440079.0745011005,15759.993064511917
2052,21279096.02202119,118153.62155614684,11381.529995780147,2499168440.6793137,43673.66957075117,1295134995.8333333,228908748.69163644,189977.03237339813,29709.688553361186,442075.24782237055,15973.041579385677
2053,21399664.45156643,118416.04361702512,11816.520293538722,2545838093.761828,44995.92884177609,1282056435.0,231345975.57380378,191669.00828323737,29177.287424648228,444085.33895247,16182.635552658972
2054,21514110.630396422,118595.75139270487,12278.62682607583,2593180996.4294314,46327.34602290087,1269677480.0,233817411.94951838,193340.39225612793,28668.594221577365,446104.64607297524,16389.78261435989
2055,21620189.45481211,118679.84455500236,12768.245292498634,2640881900.5737333,47659.16027641986,1257898285.0,236327056.78927654,195013.73036635577,28181.657863614964,448128.4975191509,16593.459626720745
2056,21697075.096449353,118558.60354034063,13281.10265890951,2686701968.852937,48955.086363681956,1245597415.4166667,238628771.18479174,196632.1946648135,27693.98700767619,449884.8790312382,16780.89553233939
2057,21765264.88140507,118341.92249231892,13826.414849918936,2732950203.6612635,50247.88036383455,1234037736.6666667,240967226.8413459,198256.84796629174,27228.832049688306,451654.38856236864,16964.687207754563
2058,21826738.430010404,118045.9746045729,14409.392983142345,2780039765.7744117,51543.93903822165,1223320768.333333,243342166.89673412,199886.54314572227,26785.35718201422,453435.2329196789,17145.974927869
2059,21879551.63049748,117665.35675989876,15031.249879632598,2827687001.248996,52835.210629804904,1213281190.833333,245752247.74449027,201537.66996528726,26363.00964784469,455233.50784241426,17323.45749959608
2060,21922562.681843825,117198.22224789603,15693.871558595807,2875738710.800994,54115.860566097275,1203850794.5833333,248198469.38592628,203197.7904458281,25961.774173683258,457052.92164208234,17496.189968807583
2061,21940851.13274048,116568.82579545741,16394.686649881023,2922438800.8537817,55358.204335913695,1194207169.1666667,250423746.96958968,204761.3819665351,25558.64853156121,458588.6941653094,17653.035987884443
2062,21951060.436524555,115875.12555103457,17145.629188548326,2969891719.89914,56595.10093212511,1185199619.5833335,252680309.36725202,206359.8555704787,25173.070539855788,460133.42897351144,17806.02361646199
2063,21952279.217691384,115119.96342683019,17948.81905291551,3017874727.234704,57821.29083392789,1176732913.75,254970923.94258824,207987.61554307863,24806.15228525612,461687.3871730946,17954.635652900382
2064,21944546.490968373,114309.46551904657,18808.160105537725,3066432772.679564,59036.94800340881,1168770591.25,257292861.51364347,209653.55095028473,24458.465111301866,463245.7365193063,18098.74540221354
2065,21928704.865618076,113453.49557186646,19729.25874975292,3115770209.1963124,60246.884526705944,1161326244.1666667,259649822.0495571,211337.17946119077,24129.048671375287,464802.2788011124,18238.730808568824
2066,21890695.440348405,112490.75110387433,20707.366242746753,3163738156.8932734,61420.793087326514,1153693400.4166667,261770703.58665508,212837.78894780527,23794.007512025964,466070.99110824056,18364.110317568575
2067,21844974.601864014,111501.85736102737,21752.336608234295,3212003482.9248195,62581.83358754162,1146763164.5833335,263912382.12151268,214345.7229496768,23476.041039393007,467339.45888714667,18483.881208440158
2068,21791807.99790224,110555.18143974814,22868.93154815815,3259729460.0145187,63732.91272607185,1142488256.6666665,266073019.458618,215867.31014196697,23173.923834771736,468604.82024414325,18598.213773695454
2069,21732412.556924693,109684.0123258442,24061.808816832054,3306962931.239089,64875.807289852426,1141167132.5,268255209.54488552,217402.40846633635,22886.76701324764,469870.21319273114,18707.575670755064
2070,21669654.500237476,108905.16735925828,25333.118263980694,3353666685.2058773,66005.6766667191,1142794304.5833333,270462493.29107946,218962.70687429365,22614.31802599897,471139.7382538144,18811.712149160143
2071,21590703.726605475,108171.4583055033,26675.29966716409,3397547098.4751253,67087.73333718673,1146725284.5833333,272416038.5208098,220315.57505153326,22333.646962378793,472106.50252819073,18899.726106816313
2072,21509014.920388803,107543.58796154222,28100.44790602879,3440851107.865306,68150.33842766726,1153105246.6666667,274394619.65275997,221675.06039531043,22067.47596004163,473077.19063047355,18981.520721808152
2073,21424793.349967778,107017.425328274,29610.832183409508,3483602166.346801,69190.22838351993,1161567963.7500002,276397320.7259706,223035.23885015713,21816.269579847194,474059.5730771675,19056.981029508734
2074,21338131.81708284,106588.25939872698,31208.490850887683,3525741039.005047,70202.85135608725,1171817895.8333333,278421646.7791623,224389.2889114204,21579.533247214247,475051.0240022581,19125.63472347976
2075,21248742.537548106,106251.38837240369,32896.49207839101,3567253590.2374415,71185.76134419399,1183577137.5,280461573.2495829,225724.70165031188,21355.890788449764,476043.9805394599,19186.330788315056
2076,21143932.88635255,105942.56766758491,34665.492657134775,3605998838.6460576,72105.73649824879,1195925929.1666667,282255586.4696713,226835.9563515427,21122.238352961005,476761.0321876572,19228.78270423574
2077,21035512.33178038,105704.04272526075,36530.190627673415,3644295262.858331,72991.81527387461,1209029116.6666667,284056362.8537207,227934.84561404362,20899.4306619824,477467.83678386954,19262.460317268655
2078,20923091.276979115,105462.20345224728,38492.66232426229,3683012190.1262164,73838.00347452075,1220603991.6666665,285861804.0615179,229028.3363414846,20685.509888701985,478153.5398463559,19286.858403480193
2079,20805970.376321122,105184.04662447334,40557.43366108959,3722200884.67277,74642.88473353638,1230219454.1666665,287675414.45597905,230110.00830822886,20480.531880722632,478824.18040174566,19301.707604987056
2080,20681160.89494164,104851.47285534281,42730.9346986131,3761831164.705079,75408.1252231062,1237758241.6666667,289508806.36622036,231203.61397088855,20286.17770170184,479498.35828496906,19308.32335011082
2081,20537178.372147527,104398.39319948443,45002.6688899965,3799697825.442709,76104.16658772281,1242521179.1666665,291128776.44864476,232138.95892799707,20087.89458863104,479937.74534599786,19300.324221690953
2082,20385914.04448428,103878.58989309656,47393.269613583565,3837833577.5861254,76759.36726455072,1245559820.8333333,292783454.7839447,233090.78941338017,19905.55268247943,480408.1535735931,19287.0305389379
2083,20227631.5473444,103297.9650081775,49910.22370804449,3876194879.045793,77376.33397064106,1247184058.3333333,294467512.0549863,234053.46851076646,19737.17678297456,480894.722866758,19268.914842389036
2084,20062480.535972957,102661.41801364001,52562.23096119797,3914741256.9315634,77957.73136132679,1247636862.5,296184734.9895959,235040.53972499238,19582.128525951433,481408.8078017035,19247.07926671988
2085,19891192.391003963,101973.91643409789,55358.05461326252,3953447461.0683455,78505.02187051288,1247139187.4999998,297923429.36573285,236033.70878946324,19438.224560797033,481908.9258699267,19221.081048656433
2086,19705800.361386437,101202.0887865145,58292.652120281775,3990459349.047357,79000.85810158374,1245412691.6666667,299478000.86473995,236943.56016059167,19285.47551377029,482198.3377501978,19184.493042696377
2087,19515483.40392794,100389.12480729586,61387.76439603105,4027516501.9784436,79466.04857936448,1243056512.4999998,301031852.72990596,237855.9791606432,19137.605272161218,482432.7521376462,19142.1597797101
2088,19320849.25561348,99540.38103971782,64651.30000534331,4064594810.406946,79901.70923044212,1240202237.5,302593120.6875282,238774.66057908325,18996.81890096901,482636.1889608451,19094.271726578758
2089,19122395.825529456,98660.27550825152,68092.23757482294,4101659621.3749485,80308.5505940118,1236946950.0,304155496.21476364,239697.67604951642,18862.076343904373,482777.8824080197,19039.940047260392
2090,18920698.009028587,97754.36982587128,71720.46101717185,4138723257.243484,80687.9378243396,1233386062.5,305727102.3989631,240638.2146467899,18734.786203047217,482899.7594690998,18979.789209637478
2091,18709651.788098115,96798.55440304139,75529.14106318442,4174173432.1780915,81026.19668129348,1229273404.1666665,307126429.8081393,241472.8948851511,18599.238074694527,482787.9118713325,18910.88530847548
2092,18495619.155135002,95823.792959033,79534.84641226726,4209453663.8283772,81334.42925645289,1224984712.5,308493908.32907104,242325.0648435762,18456.697823151677,482511.0311108787,18835.268065782275
2093,18279135.79311796,94835.99045414996,83743.09174311903,4244567800.687061,81610.86481368948,1220616070.833333,309817720.82459855,243173.0568869177,18304.339465342455,482023.58960220916,18752.88660560785
2094,18060384.634939104,93840.08336372071,88160.9071648354,4279525212.988589,81852.64491627397,1216240854.1666667,311112364.7657895,244033.09278899667,18146.41694335925,481363.8387149114,18665.034994498477
2095,17839058.301055945,92838.96847775464,92794.45327945122,4314283952.191047,82055.95213848448,1211908200.0,312378453.86054194,244882.58018328002,17985.127643150583,480531.96930956416,18572.3013708705
2096,17609888.40323389,91814.4940591164,97635.50918966296,4347330340.007977,82205.4402394492,1207416033.3333335,313435296.23723674,245631.40421099507,17799.711607942016,479388.09242362983,18469.38842855757
2097,17378340.650181778,90793.55492654679,102705.23880529107,4380140943.766307,82307.59852896465,1203089933.3333333,314507447.8596351,246371.29510763136,17622.709162792733,478205.9635760298,18363.548379858497
2098,17144525.14680018,89779.97212785085,108007.60196661505,4412696269.410007,82358.65764327353,1198965600.0,315620277.09535617,247107.74152700504,17462.383087152855,477109.13054514024,18258.97420333863
2099,16908741.265989065,88777.53132908992,113543.19613998973,4445041016.9735,82356.0564352903,1195088545.8333335,316753090.0699036,247767.7409929144,17312.664232148283,476201.0749931928,18158.721348415307
2100,16671230.27715317,87787.65141039573,119316.20523516412,4477237876.49736,82297.99308140772,1191463787.5,317879432.27986145,248400.43296442713,17169.109165475842,475243.41958539217,18054.574334070734
