,,BEV,FCV,HEV,ICE,PHEV,Trolley
LCV,1999,0.0,0.0,652.3803239344771,0.0,89.27896658985885,0.0
LCV,2000,0.0,0.0,528.5164889969751,0.0,59.389181266556236,0.0
LCV,2001,0.0,0.0,277.31083879574646,0.0,31.87505345829005,0.0
LCV,2002,0.0,0.0,621.9843014703094,0.0,86.85746797900202,0.0
LCV,2003,0.0,0.0,581.0405012497396,0.0,85.64858485877157,0.0
LCV,2004,0.0,0.0,900.3940002809845,0.0,136.40372557921003,0.0
LCV,2005,0.0,0.0,746.4689261265952,0.0,106.2422493555878,0.0
LCV,2006,0.0,0.0,930.3227454806508,0.0,142.95564311887912,0.0
LCV,2007,0.0,0.0,1165.270327150726,0.0,183.0976936190023,0.0
LCV,2008,0.0,0.0,1163.3685153882507,0.0,195.72753797755308,0.0
LCV,2009,0.0,0.0,1474.023549590488,0.0,272.2629945050753,0.0
LCV,2010,0.0,0.0,2774.732890763585,0.0,545.5263498578772,0.0
LCV,2011,0.0,0.0,7117.234226512874,0.0,2306.914609411141,0.0
LCV,2012,0.0,0.0,23916.053866469356,0.0,14158.614746584768,0.0
LCV,2013,0.0,0.0,105182.62511155067,0.0,132199.20976410664,0.0
LCV,2014,0.0,0.0,549209.2127505031,0.0,1979909.6130394437,0.0
LCV,2015,0.0,0.0,2693174.4413221586,0.0,36399756.92404868,0.0
LCV,2016,0.0,0.0,694537.1049659022,0.0,7883705.362765634,0.0
LCV,2017,0.0,0.0,777078.6325890587,0.0,8881627.77593121,0.0
LCV,2018,0.0,0.0,814789.9976753113,0.0,9255872.8160073,0.0
LCV,2019,0.0,0.0,760901.3110606673,0.0,9093860.720832698,0.0
LCV,2020,0.0,0.0,321911.9450199776,0.0,3381767.1767585003,0.0
LCV,2021,0.0,0.0,4445070.224228448,0.0,48995233.51734551,0.0
LCV,2022,0.0,0.0,4704273.854409571,0.0,52743628.77283202,0.0
LCV,2023,0.0,0.0,5015345.621731042,0.0,58501972.778350845,0.0
LCV,2024,0.0,0.0,5337158.028354924,0.0,63862780.553232916,0.0
LCV,2025,0.0,0.0,5581912.8174599735,0.0,71732024.51194717,0.0
LCV,2026,0.0,0.0,5555917.783849972,0.0,80014003.71977402,0.0
LCV,2027,0.0,0.0,5743005.354206019,0.0,80767478.19265302,0.0
LCV,2028,0.0,0.0,6043023.033178367,0.0,83724166.82490066,0.0
LCV,2029,0.0,0.0,6377847.658650636,0.0,88331901.40357128,0.0
LCV,2030,0.0,0.0,6796385.873830587,0.0,91623455.44746198,0.0
LCV,2031,0.0,0.0,7284026.361157282,0.0,97045259.43194309,0.0
LCV,2032,0.0,0.0,7687093.24297788,0.0,101938276.47167072,0.0
LCV,2033,0.0,0.0,8238022.602768854,0.0,108455703.17482908,0.0
LCV,2034,0.0,0.0,8903591.956682345,0.0,116193252.51607333,0.0
LCV,2035,0.0,0.0,9601184.19290322,0.0,129632090.82740502,0.0
LCV,2036,0.0,0.0,10211106.444490675,0.0,140115998.12806517,0.0
LCV,2037,0.0,0.0,11432097.054311605,0.0,156547526.17154992,0.0
LCV,2038,0.0,0.0,12289198.330141399,0.0,179816103.79824066,0.0
LCV,2039,0.0,0.0,13123607.386025473,0.0,194858879.25470293,0.0
LCV,2040,0.0,0.0,13469605.461162006,0.0,219217056.23909232,0.0
LCV,2041,0.0,0.0,13105042.515906487,0.0,215193479.8201367,0.0
LCV,2042,0.0,0.0,13165618.048233634,0.0,218497291.0989254,0.0
LCV,2043,0.0,0.0,13323641.347347805,0.0,218913627.69530487,0.0
LCV,2044,0.0,0.0,13277429.450531153,0.0,221094800.6037122,0.0
LCV,2045,0.0,0.0,13356177.482043218,0.0,220087631.83570024,0.0
LCV,2046,0.0,0.0,13321147.856501514,0.0,213850526.53641745,0.0
LCV,2047,0.0,0.0,13183167.996662796,0.0,218044359.6266218,0.0
LCV,2048,0.0,0.0,12985834.248417402,0.0,226168577.76153004,0.0
LCV,2049,0.0,0.0,13651452.936565736,0.0,227256394.338945,0.0
LCV,2050,0.0,0.0,14081749.785241274,0.0,234124919.10194775,0.0
LCV,2051,0.0,0.0,13876871.931828484,0.0,232915024.8228133,0.0
